190
Q;L;X;Y;Sexo;FaixaEtaria;SaudeDengue;SorotipoAtual;Ciclo
0;125;250365;7235010;M;A;I;2;16
0;535;252750;7233915;F;A;I;2;21
0;1709;252600;7237860;M;J;I;2;22
0;1392;248565;7239300;F;A;I;2;23
0;1733;254835;7237305;M;A;I;2;24
0;138;248610;7239105;F;C;I;2;26
0;288;250920;7238535;F;J;I;2;27
0;1536;250620;7235010;F;A;I;2;28
0;436;251340;7238250;F;J;I;2;29
0;998;251880;7233750;F;A;I;2;30
0;54;251955;7236990;F;A;I;2;31
70;19;248325;7233900;M;J;I;2;32
0;1077;250275;7235175;M;A;I;2;33
4;32;256275;7240375;F;C;I;2;34
0;407;252030;7235025;M;J;I;2;35
0;657;252420;7233855;F;J;I;2;36
0;4;249975;7237800;F;A;I;2;37
0;34;248310;7238520;F;J;I;2;38
0;240;251535;7239000;F;A;I;2;39
0;402;251100;7238370;F;I;I;2;40
0;393;248520;7237035;M;C;I;2;41
0;810;249900;7236675;M;A;I;2;42
0;198;253335;7234470;M;J;I;2;43
0;202;251640;7237080;M;A;I;2;44
0;414;248595;7239405;M;J;I;2;45
0;678;253800;7238040;F;C;I;2;46
0;1486;251460;7238070;F;A;I;2;47
0;1142;254010;7242315;F;C;I;2;48
0;48;253575;7233690;F;A;I;2;49
0;236;252735;7238430;F;A;I;2;50
0;216;250215;7235160;F;A;I;2;51
0;763;254415;7237965;F;A;I;2;52
0;1370;253185;7234335;F;A;I;2;53
33;19;255550;7238450;F;A;I;2;54
0;1592;249750;7239120;F;A;I;2;55
0;763;254415;7237965;M;J;I;2;56
0;43;248325;7234125;F;A;I;2;57
0;34;248310;7238520;M;A;I;2;58
0;1649;250920;7240110;M;A;I;2;59
0;130;248490;7236750;M;C;I;2;59
0;243;250605;7239810;F;A;I;2;60
65;51;247400;7236100;F;C;I;2;60
14;7;255775;7236300;F;C;I;2;61
0;406;253965;7236345;M;J;I;2;61
64;19;247925;7236100;M;A;I;2;62
0;655;249780;7236240;M;C;I;2;63
0;86;255690;7238760;F;A;I;2;64
0;589;252990;7240770;F;J;I;2;64
16;0;256550;7236425;M;A;I;2;65
0;461;255540;7240740;F;A;I;2;66
0;180;254055;7239780;F;J;I;2;66
